Region,Country_Territory,Data_collection,Year,received
Oceania,American Samoa,ARQ,2017,0
Oceania,American Samoa,ARQ,2018,0
Oceania,American Samoa,ARQ,2019,0
Oceania,American Samoa,ARQ,2020,0
Oceania,American Samoa,ARQ,2021,0
Oceania,American Samoa,ARQ,2022,0
Oceania,American Samoa,GLOTIP,2017,0
Oceania,American Samoa,GLOTIP,2018,0
Oceania,American Samoa,GLOTIP,2019,0
Oceania,American Samoa,GLOTIP,2020,0
Oceania,American Samoa,GLOTIP,2021,0
Oceania,American Samoa,GLOTIP,2022,0
Oceania,American Samoa,IDS,2017,0
Oceania,American Samoa,IDS,2018,0
Oceania,American Samoa,IDS,2019,0
Oceania,American Samoa,IDS,2020,0
Oceania,American Samoa,IDS,2021,0
Oceania,American Samoa,IDS,2022,0
Oceania,American Samoa,UN-CTS,2017,0
Oceania,American Samoa,UN-CTS,2018,0
Oceania,American Samoa,UN-CTS,2019,0
Oceania,American Samoa,UN-CTS,2020,0
Oceania,American Samoa,UN-CTS,2021,0
Oceania,American Samoa,UN-CTS,2022,0
Oceania,American Samoa,UN-IAFQ,2017,0
Oceania,American Samoa,UN-IAFQ,2018,0
Oceania,American Samoa,UN-IAFQ,2019,0
Oceania,American Samoa,UN-IAFQ,2020,0
Oceania,American Samoa,UN-IAFQ,2021,0
Oceania,American Samoa,UN-IAFQ,2022,0
Americas,Anguilla,ARQ,2019,0
Americas,Anguilla,ARQ,2020,0
Americas,Anguilla,ARQ,2021,0
Americas,Anguilla,ARQ,2022,0
Americas,Anguilla,GLOTIP,2019,0
Americas,Anguilla,GLOTIP,2020,0
Americas,Anguilla,GLOTIP,2021,0
Americas,Anguilla,GLOTIP,2022,0
Americas,Anguilla,IDS,2019,0
Americas,Anguilla,IDS,2020,0
Americas,Anguilla,IDS,2021,0
Americas,Anguilla,IDS,2022,0
Americas,Anguilla,UN-CTS,2019,0
Americas,Anguilla,UN-CTS,2020,0
Americas,Anguilla,UN-CTS,2021,0
Americas,Anguilla,UN-CTS,2022,0
Americas,Anguilla,UN-IAFQ,2019,0
Americas,Anguilla,UN-IAFQ,2020,0
Americas,Anguilla,UN-IAFQ,2021,0
Americas,Anguilla,UN-IAFQ,2022,0
Americas,Antigua and Barbuda,ARQ,2017,0
Americas,Antigua and Barbuda,ARQ,2018,0
Americas,Antigua and Barbuda,ARQ,2019,0
Americas,Antigua and Barbuda,ARQ,2020,0
Americas,Antigua and Barbuda,ARQ,2021,0
Americas,Antigua and Barbuda,ARQ,2022,0
Americas,Antigua and Barbuda,GLOTIP,2017,0
Americas,Antigua and Barbuda,GLOTIP,2018,0
Americas,Antigua and Barbuda,GLOTIP,2019,0
Americas,Antigua and Barbuda,GLOTIP,2020,0
Americas,Antigua and Barbuda,GLOTIP,2021,0
Americas,Antigua and Barbuda,GLOTIP,2022,0
Americas,Antigua and Barbuda,IDS,2017,0
Americas,Antigua and Barbuda,IDS,2018,0
Americas,Antigua and Barbuda,IDS,2019,0
Americas,Antigua and Barbuda,IDS,2020,0
Americas,Antigua and Barbuda,IDS,2021,0
Americas,Antigua and Barbuda,IDS,2022,1
Americas,Antigua and Barbuda,UN-CTS,2017,0
Americas,Antigua and Barbuda,UN-CTS,2018,0
Americas,Antigua and Barbuda,UN-CTS,2019,1
Americas,Antigua and Barbuda,UN-CTS,2020,0
Americas,Antigua and Barbuda,UN-CTS,2021,1
Americas,Antigua and Barbuda,UN-CTS,2022,1
Americas,Antigua and Barbuda,UN-IAFQ,2017,0
Americas,Antigua and Barbuda,UN-IAFQ,2018,0
Americas,Antigua and Barbuda,UN-IAFQ,2019,0
Americas,Antigua and Barbuda,UN-IAFQ,2020,0
Americas,Antigua and Barbuda,UN-IAFQ,2021,0
Americas,Antigua and Barbuda,UN-IAFQ,2022,0
Americas,Aruba,ARQ,2019,0
Americas,Aruba,ARQ,2020,0
Americas,Aruba,ARQ,2021,0
Americas,Aruba,ARQ,2022,0
Americas,Aruba,GLOTIP,2019,0
Americas,Aruba,GLOTIP,2020,0
Americas,Aruba,GLOTIP,2021,0
Americas,Aruba,GLOTIP,2022,0
Americas,Aruba,IDS,2019,0
Americas,Aruba,IDS,2020,0
Americas,Aruba,IDS,2021,0
Americas,Aruba,IDS,2022,0
Americas,Aruba,UN-CTS,2019,0
Americas,Aruba,UN-CTS,2020,0
Americas,Aruba,UN-CTS,2021,0
Americas,Aruba,UN-CTS,2022,0
Americas,Aruba,UN-IAFQ,2019,0
Americas,Aruba,UN-IAFQ,2020,0
Americas,Aruba,UN-IAFQ,2021,0
Americas,Aruba,UN-IAFQ,2022,0
Americas,Bahamas,ARQ,2017,0
Americas,Bahamas,ARQ,2018,1
Americas,Bahamas,ARQ,2019,1
Americas,Bahamas,ARQ,2020,1
Americas,Bahamas,ARQ,2021,1
Americas,Bahamas,ARQ,2022,0
Americas,Bahamas,GLOTIP,2017,0
Americas,Bahamas,GLOTIP,2018,0
Americas,Bahamas,GLOTIP,2019,0
Americas,Bahamas,GLOTIP,2020,0
Americas,Bahamas,GLOTIP,2021,0
Americas,Bahamas,GLOTIP,2022,0
Americas,Bahamas,IDS,2017,0
Americas,Bahamas,IDS,2018,1
Americas,Bahamas,IDS,2019,0
Americas,Bahamas,IDS,2020,1
Americas,Bahamas,IDS,2021,0
Americas,Bahamas,IDS,2022,0
Americas,Bahamas,UN-CTS,2017,0
Americas,Bahamas,UN-CTS,2018,0
Americas,Bahamas,UN-CTS,2019,1
Americas,Bahamas,UN-CTS,2020,1
Americas,Bahamas,UN-CTS,2021,1
Americas,Bahamas,UN-CTS,2022,0
Americas,Bahamas,UN-IAFQ,2017,0
Americas,Bahamas,UN-IAFQ,2018,0
Americas,Bahamas,UN-IAFQ,2019,0
Americas,Bahamas,UN-IAFQ,2020,0
Americas,Bahamas,UN-IAFQ,2021,0
Americas,Bahamas,UN-IAFQ,2022,0
Asia,Bahrain,ARQ,2019,0
Asia,Bahrain,ARQ,2020,0
Asia,Bahrain,ARQ,2021,1
Asia,Bahrain,ARQ,2022,0
Asia,Bahrain,GLOTIP,2019,0
Asia,Bahrain,GLOTIP,2020,0
Asia,Bahrain,GLOTIP,2021,1
Asia,Bahrain,GLOTIP,2022,0
Asia,Bahrain,IDS,2019,0
Asia,Bahrain,IDS,2020,0
Asia,Bahrain,IDS,2021,0
Asia,Bahrain,IDS,2022,0
Asia,Bahrain,UN-CTS,2019,0
Asia,Bahrain,UN-CTS,2020,0
Asia,Bahrain,UN-CTS,2021,0
Asia,Bahrain,UN-CTS,2022,0
Asia,Bahrain,UN-IAFQ,2019,0
Asia,Bahrain,UN-IAFQ,2020,0
Asia,Bahrain,UN-IAFQ,2021,0
Asia,Bahrain,UN-IAFQ,2022,0
Americas,Barbados,ARQ,2019,0
Americas,Barbados,ARQ,2020,0
Americas,Barbados,ARQ,2021,0
Americas,Barbados,ARQ,2022,0
Americas,Barbados,GLOTIP,2019,0
Americas,Barbados,GLOTIP,2020,0
Americas,Barbados,GLOTIP,2021,0
Americas,Barbados,GLOTIP,2022,0
Americas,Barbados,IDS,2019,0
Americas,Barbados,IDS,2020,0
Americas,Barbados,IDS,2021,0
Americas,Barbados,IDS,2022,0
Americas,Barbados,UN-CTS,2019,1
Americas,Barbados,UN-CTS,2020,1
Americas,Barbados,UN-CTS,2021,1
Americas,Barbados,UN-CTS,2022,0
Americas,Barbados,UN-IAFQ,2019,0
Americas,Barbados,UN-IAFQ,2020,0
Americas,Barbados,UN-IAFQ,2021,0
Americas,Barbados,UN-IAFQ,2022,0
Americas,Belize,ARQ,2019,0
Americas,Belize,ARQ,2020,0
Americas,Belize,ARQ,2021,0
Americas,Belize,ARQ,2022,0
Americas,Belize,GLOTIP,2019,0
Americas,Belize,GLOTIP,2020,0
Americas,Belize,GLOTIP,2021,0
Americas,Belize,GLOTIP,2022,0
Americas,Belize,IDS,2019,0
Americas,Belize,IDS,2020,0
Americas,Belize,IDS,2021,0
Americas,Belize,IDS,2022,0
Americas,Belize,UN-CTS,2019,1
Americas,Belize,UN-CTS,2020,1
Americas,Belize,UN-CTS,2021,1
Americas,Belize,UN-CTS,2022,0
Americas,Belize,UN-IAFQ,2019,0
Americas,Belize,UN-IAFQ,2020,0
Americas,Belize,UN-IAFQ,2021,0
Americas,Belize,UN-IAFQ,2022,0
Americas,Bermuda,ARQ,2019,0
Americas,Bermuda,ARQ,2020,0
Americas,Bermuda,ARQ,2021,0
Americas,Bermuda,ARQ,2022,0
Americas,Bermuda,GLOTIP,2019,0
Americas,Bermuda,GLOTIP,2020,0
Americas,Bermuda,GLOTIP,2021,0
Americas,Bermuda,GLOTIP,2022,0
Americas,Bermuda,IDS,2019,0
Americas,Bermuda,IDS,2020,0
Americas,Bermuda,IDS,2021,0
Americas,Bermuda,IDS,2022,0
Americas,Bermuda,UN-CTS,2019,1
Americas,Bermuda,UN-CTS,2020,1
Americas,Bermuda,UN-CTS,2021,0
Americas,Bermuda,UN-CTS,2022,1
Americas,Bermuda,UN-IAFQ,2019,0
Americas,Bermuda,UN-IAFQ,2020,0
Americas,Bermuda,UN-IAFQ,2021,0
Americas,Bermuda,UN-IAFQ,2022,0
Americas,British Virgin Islands,ARQ,2019,0
Americas,British Virgin Islands,ARQ,2020,0
Americas,British Virgin Islands,ARQ,2021,0
Americas,British Virgin Islands,ARQ,2022,0
Americas,British Virgin Islands,GLOTIP,2019,0
Americas,British Virgin Islands,GLOTIP,2020,0
Americas,British Virgin Islands,GLOTIP,2021,0
